student_id,study_hours,attendance,previous_score,sleep_hours,assignments,practice_tests,final_score
S0001,5.8,84.2,49.5,7.0,5.0,8.0,53.7
S0002,3.1,71.1,61.2,7.5,7.0,2.0,61.4
S0003,6.7,93.3,73.9,6.7,7.0,0.0,68.2
S0004,7.1,70.5,66.6,6.5,8.0,6.0,69.8
S0005,1.3,70.4,58.9,7.1,3.0,4.0,38.6
S0006,2.6,84.5,58.6,4.9,7.0,7.0,51.3
S0007,5.5,87.2,58.0,7.5,4.0,0.0,53.0
S0008,4.6,83.4,55.7,7.0,9.0,0.0,61.3
S0009,5.2,57.8,98.0,7.0,9.0,5.0,89.2
S0010,3.5,84.5,72.2,8.1,7.0,7.0,77.1
S0011,7.0,65.6,80.4,4.9,10.0,3.0,78.3
S0012,6.8,80.8,61.2,4.8,6.0,7.0,69.4
S0013,5.3,60.9,65.4,7.3,2.0,8.0,59.0
S0014,7.5,83.4,58.0,7.0,7.0,7.0,76.9
S0015,6.1,68.3,30.9,7.2,8.0,4.0,36.3
S0016,3.5,62.6,48.7,6.5,2.0,6.0,36.7
S0017,5.9,86.6,42.7,7.7,2.0,4.0,36.9
S0018,5.2,80.9,36.5,8.0,4.0,6.0,49.5
S0019,7.0,70.6,51.3,7.5,9.0,5.0,62.7
S0020,5.1,95.4,86.5,6.7,6.0,4.0,77.1
S0021,4.8,72.7,67.4,4.7,10.0,3.0,68.2
S0022,3.8,78.4,86.1,7.8,9.0,5.0,83.8
S0023,7.6,81.2,73.8,8.3,6.0,6.0,86.3
S0024,4.9,70.6,79.0,7.7,8.0,8.0,70.0
S0025,4.3,83.7,55.4,6.0,4.0,5.0,48.8
S0026,5.2,71.6,75.3,7.7,2.0,0.0,56.8
S0027,6.3,73.1,78.2,7.9,5.0,5.0,63.7
S0028,5.9,94.4,59.9,8.7,7.0,2.0,67.6
S0029,6.0,65.5,75.8,6.0,3.0,0.0,58.8
S0030,6.1,49.0,75.9,6.8,3.0,0.0,63.3
S0031,9.5,97.3,60.3,7.8,2.0,5.0,76.9
S0032,4.4,100.0,52.3,7.1,8.0,8.0,57.6
S0033,4.2,73.1,51.4,5.8,10.0,4.0,49.5
S0034,3.6,54.8,69.2,7.5,9.0,4.0,63.6
S0035,6.4,74.3,72.6,7.6,5.0,0.0,69.2
S0036,7.5,74.6,56.9,7.1,7.0,6.0,59.3
S0037,5.0,75.7,68.4,7.2,10.0,0.0,61.0
S0038,3.5,64.6,76.0,6.7,7.0,7.0,73.8
S0039,3.6,85.0,76.7,8.6,4.0,7.0,72.8
S0040,6.5,84.3,89.7,6.0,5.0,8.0,73.9
S0041,6.7,60.1,85.9,6.4,8.0,2.0,70.8
S0042,6.3,86.4,54.0,7.0,6.0,1.0,60.4
S0043,3.9,100.0,91.6,8.0,9.0,2.0,86.5
S0044,5.7,80.1,60.6,5.4,9.0,7.0,59.4
S0045,5.4,74.0,82.6,5.6,2.0,1.0,63.5
S0046,5.6,76.3,69.0,4.8,8.0,7.0,66.9
S0047,6.9,85.4,62.2,7.0,5.0,1.0,62.5
S0048,5.6,57.2,42.7,5.8,6.0,0.0,30.1
S0049,6.6,80.0,65.6,6.6,4.0,1.0,54.2
S0050,5.3,73.3,46.2,7.7,5.0,6.0,49.9
S0051,5.8,100.0,81.5,6.3,4.0,5.0,74.3
S0052,6.5,75.9,89.2,7.3,2.0,3.0,78.9
S0053,2.3,78.15,56.8,6.7,9.0,5.0,50.2
S0054,4.6,64.8,72.2,7.7,3.0,5.0,64.1
S0055,4.3,85.0,57.8,7.5,5.0,4.0,60.0
S0056,3.9,81.8,59.2,6.2,3.0,4.0,52.6
S0057,4.6,67.6,78.8,6.8,3.0,0.0,62.0
S0058,8.2,80.1,67.5,8.1,5.0,2.0,66.7
S0059,3.5,92.6,92.4,7.4,10.0,4.0,81.6
S0060,7.1,74.1,61.2,5.5,10.0,1.0,60.5
S0061,1.8,57.7,82.0,7.7,5.0,4.0,71.5
S0062,4.5,77.8,69.4,5.8,8.0,1.0,57.8
S0063,5.5,67.2,79.1,8.6,10.0,7.0,76.7
S0064,6.4,73.9,61.7,8.1,4.0,0.0,53.2
S0065,6.6,77.0,67.3,7.3,10.0,0.0,67.5
S0066,6.8,57.5,66.4,7.2,2.0,5.0,57.3
S0067,4.5,58.6,56.3,6.8,4.0,1.0,47.8
S0068,4.3,83.8,77.3,7.7,5.0,3.0,70.9
S0069,6.9,71.7,77.1,6.6,2.0,2.0,69.6
S0070,4.8,47.2,76.3,7.3,9.0,1.0,73.4
S0071,2.6,87.4,89.5,8.0,9.0,6.0,88.1
S0072,2.9,81.3,88.3,6.4,5.0,6.0,70.1
S0073,3.4,69.4,62.8,6.3,9.0,2.0,51.3
S0074,6.2,62.2,73.2,5.7,8.0,6.0,69.3
S0075,5.5,88.0,59.3,5.8,9.0,6.0,60.2
S0076,6.6,82.2,68.3,5.0,9.0,4.0,61.6
S0077,4.3,100.0,59.6,7.8,7.0,5.0,59.3
S0078,5.5,83.0,90.7,9.0,2.0,8.0,81.4
S0079,6.5,82.7,73.1,8.6,10.0,4.0,74.0
S0080,4.6,76.0,64.9,5.2,7.0,3.0,55.7
S0081,6.1,87.8,84.7,7.8,10.0,4.0,90.6
S0082,3.9,85.5,67.4,8.6,10.0,7.0,50.4
S0083,4.5,93.0,39.8,6.5,3.0,6.0,52.8
S0084,4.4,71.7,79.1,7.1,5.0,0.0,65.4
S0085,2.8,72.8,68.8,4.8,3.0,4.0,50.7
S0086,6.2,72.3,71.5,7.3,2.0,6.0,64.8
S0087,4.3,87.5,49.4,5.8,10.0,2.0,51.3
S0088,5.2,96.0,67.7,7.2,10.0,8.0,76.6
S0089,6.2,78.15,96.0,5.3,10.0,7.0,100.0
S0090,6.1,72.9,79.5,7.6,9.0,7.0,76.3
S0091,6.5,81.8,70.4,8.1,7.0,0.0,71.2
S0092,5.0,75.1,61.9,6.1,6.0,5.0,58.8
S0093,4.4,89.4,62.5,5.7,10.0,4.0,54.2
S0094,5.0,51.0,38.2,4.6,6.0,5.0,38.7
S0095,1.8,68.1,71.6,6.7,7.0,7.0,68.9
S0096,2.3,68.6,79.8,6.4,3.0,3.0,56.1
S0097,2.6,50.2,45.9,5.3,8.0,4.0,38.6
S0098,3.2,66.4,58.7,7.5,9.0,6.0,49.2
S0099,6.0,67.0,51.8,6.5,8.0,6.0,48.7
S0100,3.4,75.6,54.5,5.8,6.0,6.0,55.2
S0101,4.4,91.4,68.7,6.4,3.0,3.0,56.3
S0102,7.8,75.1,38.8,8.2,2.0,8.0,41.3
S0103,4.5,65.6,76.6,7.7,7.0,0.0,66.5
S0104,6.7,77.3,78.6,7.0,8.0,4.0,73.6
S0105,3.3,90.6,64.5,7.7,8.0,5.0,61.0
S0106,4.8,66.3,33.3,5.7,10.0,0.0,37.8
S0107,3.3,67.1,54.1,7.0,6.0,4.0,42.5
S0108,4.5,84.7,85.3,7.2,9.0,5.0,76.3
S0109,6.9,75.3,29.1,6.5,8.0,5.0,40.4
S0110,1.7,85.8,63.1,7.5,4.0,1.0,54.6
S0111,6.1,77.8,51.5,6.1,9.0,2.0,59.1
S0112,5.7,86.4,79.3,7.6,2.0,2.0,64.6
S0113,4.0,65.6,58.5,7.6,7.0,5.0,60.4
S0114,2.3,77.9,73.7,4.0,10.0,2.0,56.8
S0115,5.3,75.5,75.9,8.3,7.0,5.0,82.5
S0116,4.1,63.4,93.7,4.0,10.0,6.0,75.6
S0117,5.7,59.2,65.2,6.3,2.0,7.0,63.8
S0118,5.2,86.2,73.3,8.1,6.0,1.0,63.7
S0119,8.4,73.8,47.2,6.7,9.0,8.0,70.3
S0120,4.7,65.7,84.7,5.4,7.0,1.0,72.3
S0121,3.2,76.8,57.4,5.8,9.0,0.0,44.4
S0122,5.6,91.5,60.1,8.1,6.0,0.0,54.9
S0123,5.6,50.6,67.7,4.9,8.0,1.0,60.8
S0124,7.9,60.0,46.1,8.2,5.0,7.0,58.6
